index,time,xrsa,xrsb,xrsa_quality,xrsb_quality,sec_from_start
68,2002-07-23 00:03:24,3.2176118e-08,2.1923715e-06,0,0,204.0
69,2002-07-23 00:03:27,3.3646117e-08,2.2271572e-06,0,0,207.0
70,2002-07-23 00:03:30,3.3209645e-08,2.2121715e-06,0,0,210.0
71,2002-07-23 00:03:33,3.479659e-08,2.2683e-06,0,0,213.0
72,2002-07-23 00:03:36,3.179021e-08,2.214043e-06,0,0,216.0
73,2002-07-23 00:03:39,3.1700772e-08,2.2559286e-06,0,0,219.0
74,2002-07-23 00:03:42,3.1344516e-08,2.2129857e-06,0,0,222.0
75,2002-07-23 00:03:45,3.5403033e-08,2.178643e-06,0,0,225.0
76,2002-07-23 00:03:48,2.991075e-08,2.2097856e-06,0,0,228.0
77,2002-07-23 00:03:51,3.261769e-08,2.155586e-06,0,0,231.0
78,2002-07-23 00:03:54,3.226094e-08,2.1457859e-06,0,0,234.0
79,2002-07-23 00:03:57,3.3214423e-08,2.1375572e-06,0,0,237.0
80,2002-07-23 00:04:00,3.3030283e-08,2.1326287e-06,0,0,240.0
81,2002-07-23 00:04:03,3.3318518e-08,2.160143e-06,0,0,243.0
82,2002-07-23 00:04:06,3.103701e-08,2.1969145e-06,0,0,246.0
83,2002-07-23 00:04:09,3.312087e-08,2.1903716e-06,0,0,249.0
84,2002-07-23 00:04:12,3.2072514e-08,2.1728713e-06,0,0,252.0
85,2002-07-23 00:04:15,3.3638702e-08,2.2008571e-06,0,0,255.0
86,2002-07-23 00:04:18,3.2509153e-08,2.1627714e-06,0,0,258.0
87,2002-07-23 00:04:21,3.4280234e-08,2.2364716e-06,0,0,261.0
88,2002-07-23 00:04:24,3.320207e-08,2.2215286e-06,0,0,264.0
89,2002-07-23 00:04:27,3.107868e-08,2.1374142e-06,0,0,267.0
90,2002-07-23 00:04:30,3.214532e-08,2.2442714e-06,0,0,270.0
91,2002-07-23 00:04:33,3.1515974e-08,2.1602857e-06,0,0,273.0
92,2002-07-23 00:04:36,3.300739e-08,2.149043e-06,0,0,276.0
93,2002-07-23 00:04:39,3.008748e-08,2.158257e-06,0,0,279.0
94,2002-07-23 00:04:42,3.300162e-08,2.0913e-06,0,0,282.0
95,2002-07-23 00:04:45,3.082174e-08,2.158257e-06,0,0,285.0
96,2002-07-23 00:04:48,3.1986705e-08,2.1771286e-06,0,0,288.0
97,2002-07-23 00:04:51,3.257701e-08,2.1874573e-06,0,0,291.0
98,2002-07-23 00:04:54,3.1504445e-08,2.1226858e-06,0,0,294.0
99,2002-07-23 00:04:57,3.1078354e-08,2.1422857e-06,0,0,297.0
100,2002-07-23 00:05:00,3.1641317e-08,2.135743e-06,0,0,300.0
101,2002-07-23 00:05:03,3.1727787e-08,2.1327714e-06,0,0,303.0
102,2002-07-23 00:05:06,3.0522305e-08,2.1605142e-06,0,0,306.0
103,2002-07-23 00:05:09,3.155814e-08,2.1232e-06,0,0,309.0
104,2002-07-23 00:05:12,3.2644866e-08,2.1756287e-06,0,0,312.0
105,2002-07-23 00:05:15,3.1524046e-08,2.155643e-06,0,0,315.0
106,2002-07-23 00:05:18,3.0933247e-08,2.1823143e-06,0,0,318.0
107,2002-07-23 00:05:21,3.15756e-08,2.1502858e-06,0,0,321.0
108,2002-07-23 00:05:24,2.8581411e-08,2.1739002e-06,0,0,324.0
109,2002-07-23 00:05:27,3.1302847e-08,2.1675858e-06,0,0,327.0
110,2002-07-23 00:05:30,3.0499244e-08,2.142786e-06,0,0,330.0
111,2002-07-23 00:05:33,3.1593387e-08,2.1051571e-06,0,0,333.0
112,2002-07-23 00:05:36,3.1491762e-08,2.1752714e-06,0,0,336.0
113,2002-07-23 00:05:39,3.1062704e-08,2.1786e-06,0,0,339.0
114,2002-07-23 00:05:42,2.9221953e-08,2.1379715e-06,0,0,342.0
115,2002-07-23 00:05:45,3.1713622e-08,2.111643e-06,0,0,345.0
116,2002-07-23 00:05:48,3.1094327e-08,2.1535857e-06,0,0,348.0
117,2002-07-23 00:05:51,3.211732e-08,2.130457e-06,0,0,351.0
118,2002-07-23 00:05:54,3.0995672e-08,2.1936714e-06,0,0,354.0
119,2002-07-23 00:05:57,3.1508563e-08,2.104943e-06,0,0,357.0
120,2002-07-23 00:06:00,3.0826023e-08,2.1239e-06,0,0,360.0
121,2002-07-23 00:06:03,3.156934e-08,2.1069286e-06,0,0,363.0
122,2002-07-23 00:06:06,3.302007e-08,2.1335286e-06,0,0,366.0
123,2002-07-23 00:06:09,3.1819035e-08,2.118757e-06,0,0,369.0
124,2002-07-23 00:06:12,3.146442e-08,2.1612857e-06,0,0,372.0
125,2002-07-23 00:06:15,3.156456e-08,2.1728713e-06,0,0,375.0
126,2002-07-23 00:06:18,3.2045833e-08,2.0877571e-06,0,0,378.0
127,2002-07-23 00:06:21,2.9936118e-08,2.155043e-06,0,0,381.0
128,2002-07-23 00:06:24,3.1669316e-08,2.1876285e-06,0,0,384.0
129,2002-07-23 00:06:27,3.348289e-08,2.123743e-06,0,0,387.0
130,2002-07-23 00:06:30,3.1685456e-08,2.1550572e-06,0,0,390.0
131,2002-07-23 00:06:33,3.2628726e-08,2.1484714e-06,0,0,393.0
132,2002-07-23 00:06:36,3.3581717e-08,2.143443e-06,0,0,396.0
133,2002-07-23 00:06:39,3.3120212e-08,2.1922144e-06,0,0,399.0
134,2002-07-23 00:06:42,3.2127364e-08,2.1428857e-06,0,0,402.0
135,2002-07-23 00:06:45,3.1710822e-08,2.1414285e-06,0,0,405.0
136,2002-07-23 00:06:48,3.2082564e-08,2.1300716e-06,0,0,408.0
137,2002-07-23 00:06:51,3.237903e-08,2.1115713e-06,0,0,411.0
138,2002-07-23 00:06:54,3.240621e-08,2.1617716e-06,0,0,414.0
139,2002-07-23 00:06:57,3.209047e-08,2.1200144e-06,0,0,417.0
140,2002-07-23 00:07:00,3.2033647e-08,2.1395144e-06,0,0,420.0
141,2002-07-23 00:07:03,3.363689e-08,2.172443e-06,0,0,423.0
142,2002-07-23 00:07:06,3.1975834e-08,2.1247429e-06,0,0,426.0
143,2002-07-23 00:07:09,3.1801573e-08,2.1166143e-06,0,0,429.0
144,2002-07-23 00:07:12,3.2329787e-08,2.1314142e-06,0,0,432.0
145,2002-07-23 00:07:15,3.2693624e-08,2.0926143e-06,0,0,435.0
146,2002-07-23 00:07:18,3.3055976e-08,2.1577e-06,0,0,438.0
147,2002-07-23 00:07:21,3.3606916e-08,2.1056285e-06,0,0,441.0
148,2002-07-23 00:07:24,3.199972e-08,2.1021715e-06,0,0,444.0
149,2002-07-23 00:07:27,3.155814e-08,2.1426715e-06,0,0,447.0
150,2002-07-23 00:07:30,3.342887e-08,2.0912e-06,0,0,450.0
151,2002-07-23 00:07:33,3.236981e-08,2.1122858e-06,0,0,453.0
152,2002-07-23 00:07:36,3.3513032e-08,2.0398286e-06,0,0,456.0
153,2002-07-23 00:07:39,3.253929e-08,2.1613e-06,0,0,459.0
154,2002-07-23 00:07:42,3.2018495e-08,2.0879716e-06,0,0,462.0
155,2002-07-23 00:07:45,3.302007e-08,2.1092287e-06,0,0,465.0
156,2002-07-23 00:07:48,3.2024257e-08,2.1271571e-06,0,0,468.0
157,2002-07-23 00:07:51,3.1016917e-08,2.1127e-06,0,0,471.0
158,2002-07-23 00:07:54,3.2357622e-08,2.112257e-06,0,0,474.0
159,2002-07-23 00:07:57,3.201273e-08,2.1660858e-06,0,0,477.0
160,2002-07-23 00:08:00,3.11192e-08,2.101343e-06,0,0,480.0
161,2002-07-23 00:08:03,3.3099294e-08,2.1042572e-06,0,0,483.0
162,2002-07-23 00:08:06,3.2014377e-08,2.1238714e-06,0,0,486.0
163,2002-07-23 00:08:09,3.2536985e-08,2.053743e-06,0,0,489.0
164,2002-07-23 00:08:12,3.2076798e-08,2.0783857e-06,0,0,492.0
165,2002-07-23 00:08:15,3.2358116e-08,2.0912573e-06,0,0,495.0
166,2002-07-23 00:08:18,3.1944044e-08,2.1257572e-06,0,0,498.0
167,2002-07-23 00:08:21,3.308513e-08,2.092543e-06,0,0,501.0
168,2002-07-23 00:08:24,3.252727e-08,2.0342143e-06,0,0,504.0
169,2002-07-23 00:08:27,3.205901e-08,2.105443e-06,0,0,507.0
170,2002-07-23 00:08:30,3.4149455e-08,2.120743e-06,0,0,510.0
171,2002-07-23 00:08:33,3.3819717e-08,2.0991429e-06,0,0,513.0
172,2002-07-23 00:08:36,3.1711316e-08,2.0915e-06,0,0,516.0
173,2002-07-23 00:08:39,3.4418917e-08,2.0772857e-06,0,0,519.0
174,2002-07-23 00:08:42,3.25752e-08,2.0458572e-06,0,0,522.0
175,2002-07-23 00:08:45,3.3692068e-08,2.107557e-06,0,0,525.0
176,2002-07-23 00:08:48,3.312943e-08,2.1049143e-06,0,0,528.0
177,2002-07-23 00:08:51,3.2445904e-08,2.0568143e-06,0,0,531.0
178,2002-07-23 00:08:54,3.251722e-08,2.1637857e-06,0,0,534.0
179,2002-07-23 00:08:57,3.3035057e-08,2.1112858e-06,0,0,537.0
180,2002-07-23 00:09:00,3.5058466e-08,2.079543e-06,0,0,540.0
181,2002-07-23 00:09:03,3.4002703e-08,2.0719856e-06,0,0,543.0
182,2002-07-23 00:09:06,3.3614988e-08,2.0662715e-06,0,0,546.0
183,2002-07-23 00:09:09,3.4186023e-08,2.0866e-06,0,0,549.0
184,2002-07-23 00:09:12,3.3150517e-08,2.0636285e-06,0,0,552.0
185,2002-07-23 00:09:15,3.4360117e-08,2.0614286e-06,0,0,555.0
186,2002-07-23 00:09:18,3.2945458e-08,2.112657e-06,0,0,558.0
187,2002-07-23 00:09:21,3.348635e-08,2.0939142e-06,0,0,561.0
188,2002-07-23 00:09:24,3.429028e-08,2.0982857e-06,0,0,564.0
189,2002-07-23 00:09:27,3.5192212e-08,2.107457e-06,0,0,567.0
190,2002-07-23 00:09:30,3.3633928e-08,2.0880427e-06,0,0,570.0
191,2002-07-23 00:09:33,3.4208917e-08,2.0865e-06,0,0,573.0
192,2002-07-23 00:09:36,3.3795672e-08,2.1199285e-06,0,0,576.0
193,2002-07-23 00:09:39,3.288913e-08,2.1143e-06,0,0,579.0
194,2002-07-23 00:09:42,3.3793693e-08,2.1102571e-06,0,0,582.0
195,2002-07-23 00:09:45,3.363772e-08,2.0273e-06,0,0,585.0
196,2002-07-23 00:09:48,3.480548e-08,2.09e-06,0,0,588.0
197,2002-07-23 00:09:51,3.5761104e-08,2.1051571e-06,0,0,591.0
198,2002-07-23 00:09:54,3.3094846e-08,2.0866285e-06,0,0,594.0
199,2002-07-23 00:09:57,3.343727e-08,2.1035287e-06,0,0,597.0
200,2002-07-23 00:10:00,3.250108e-08,2.1051571e-06,0,0,600.0
201,2002-07-23 00:10:03,3.3035715e-08,2.1329001e-06,0,0,603.0
202,2002-07-23 00:10:06,3.380341e-08,2.0833e-06,0,0,606.0
203,2002-07-23 00:10:09,3.315068e-08,2.0405714e-06,0,0,609.0
204,2002-07-23 00:10:12,3.4159175e-08,2.0361572e-06,0,0,612.0
205,2002-07-23 00:10:15,3.472033e-08,2.069057e-06,0,0,615.0
206,2002-07-23 00:10:18,3.400254e-08,2.1097858e-06,0,0,618.0
207,2002-07-23 00:10:21,3.456847e-08,2.0752427e-06,0,0,621.0
208,2002-07-23 00:10:24,3.370261e-08,2.132043e-06,0,0,624.0
209,2002-07-23 00:10:27,3.3868965e-08,2.1013714e-06,0,0,627.0
210,2002-07-23 00:10:30,3.4633032e-08,2.0347286e-06,0,0,630.0
211,2002-07-23 00:10:33,3.4177457e-08,1.9838858e-06,0,0,633.0
212,2002-07-23 00:10:36,3.307788e-08,2.0660857e-06,0,0,636.0
213,2002-07-23 00:10:39,3.520654e-08,2.0870857e-06,0,0,639.0
214,2002-07-23 00:10:42,3.321195e-08,2.1352428e-06,0,0,642.0
215,2002-07-23 00:10:45,3.301661e-08,2.1737144e-06,0,0,645.0
216,2002-07-23 00:10:48,3.227214e-08,2.1254714e-06,0,0,648.0
217,2002-07-23 00:10:51,3.4185692e-08,2.1207716e-06,0,0,651.0
218,2002-07-23 00:10:54,3.4193103e-08,2.0705143e-06,0,0,654.0
219,2002-07-23 00:10:57,3.42272e-08,2.0529e-06,0,0,657.0
220,2002-07-23 00:11:00,3.512567e-08,2.0579714e-06,0,0,660.0
221,2002-07-23 00:11:03,3.3006724e-08,2.0837429e-06,0,0,663.0
222,2002-07-23 00:11:06,3.3001953e-08,2.0905857e-06,0,0,666.0
223,2002-07-23 00:11:09,3.382828e-08,2.0888715e-06,0,0,669.0
224,2002-07-23 00:11:12,3.407435e-08,2.0346001e-06,0,0,672.0
225,2002-07-23 00:11:15,3.469957e-08,2.1047715e-06,0,0,675.0
226,2002-07-23 00:11:18,3.473894e-08,2.1030285e-06,0,0,678.0
227,2002-07-23 00:11:21,3.5249858e-08,2.0422715e-06,0,0,681.0
228,2002-07-23 00:11:24,3.563066e-08,2.0598713e-06,0,0,684.0
229,2002-07-23 00:11:27,3.3641502e-08,2.0914142e-06,0,0,687.0
230,2002-07-23 00:11:30,3.393748e-08,2.0531e-06,0,0,690.0
231,2002-07-23 00:11:33,3.5290704e-08,2.0331715e-06,0,0,693.0
232,2002-07-23 00:11:36,3.5730636e-08,2.0871e-06,0,0,696.0
233,2002-07-23 00:11:39,3.2555597e-08,2.1041285e-06,0,0,699.0
234,2002-07-23 00:11:42,3.576028e-08,2.0143714e-06,0,0,702.0
235,2002-07-23 00:11:45,3.4137436e-08,2.0215286e-06,0,0,705.0
236,2002-07-23 00:11:48,3.3012494e-08,2.0909288e-06,0,0,708.0
237,2002-07-23 00:11:51,3.3637882e-08,2.0615287e-06,0,0,711.0
238,2002-07-23 00:11:54,3.299981e-08,2.1218e-06,0,0,714.0
239,2002-07-23 00:11:57,3.3637882e-08,2.0834857e-06,0,0,717.0
240,2002-07-23 00:12:00,3.3079857e-08,2.0537857e-06,0,0,720.0
241,2002-07-23 00:12:03,3.3190705e-08,2.0807286e-06,0,0,723.0
242,2002-07-23 00:12:06,3.2959296e-08,2.0801285e-06,0,0,726.0
243,2002-07-23 00:12:09,3.1737503e-08,2.1751714e-06,0,0,729.0
244,2002-07-23 00:12:12,3.2362234e-08,2.0358143e-06,0,0,732.0
245,2002-07-23 00:12:15,3.3866822e-08,2.0901857e-06,0,0,735.0
246,2002-07-23 00:12:18,3.4218797e-08,2.084843e-06,0,0,738.0
247,2002-07-23 00:12:21,3.204847e-08,2.0704856e-06,0,0,741.0
248,2002-07-23 00:12:24,3.266875e-08,2.0169573e-06,0,0,744.0
249,2002-07-23 00:12:27,3.1961502e-08,2.0778143e-06,0,0,747.0
250,2002-07-23 00:12:30,3.1743436e-08,2.1323715e-06,0,0,750.0
251,2002-07-23 00:12:33,3.178675e-08,2.0527286e-06,0,0,753.0
252,2002-07-23 00:12:36,3.2021457e-08,2.0476143e-06,0,0,756.0
253,2002-07-23 00:12:39,3.2690494e-08,2.0158573e-06,0,0,759.0
254,2002-07-23 00:12:42,3.2568774e-08,2.1050714e-06,0,0,762.0
255,2002-07-23 00:12:45,3.314887e-08,2.1389142e-06,0,0,765.0
256,2002-07-23 00:12:48,3.3240777e-08,1.9976144e-06,0,0,768.0
257,2002-07-23 00:12:51,3.232287e-08,2.071143e-06,0,0,771.0
258,2002-07-23 00:12:54,3.1929552e-08,2.0468142e-06,0,0,774.0
259,2002-07-23 00:12:57,3.222454e-08,2.0028e-06,0,0,777.0
260,2002-07-23 00:13:00,3.1955903e-08,2.1068286e-06,0,0,780.0
261,2002-07-23 00:13:03,3.3106538e-08,2.0184573e-06,0,0,783.0
262,2002-07-23 00:13:06,3.2006962e-08,2.0746572e-06,0,0,786.0
263,2002-07-23 00:13:09,3.2321225e-08,2.0242858e-06,0,0,789.0
