adc,deg_C
2340.5,95
3477.5,76.1
7202.5,56.7
10486,44.5
16901,28.7
21343,20.5
24650.5,15.2
30850,6.2
34349.5,1.5
38169.5,-3.5
43570,-11
47769,-17.5
