adc,deg_C
2224,13.5
1121,28.7
2624,10
3264,5.7
3872,2.5
4160,1
4697,-1.5
4920,-2.9
5408,-5.1
6584,-7.6
7792,-11
10405,-16.1
12836,-19.6
13872,-21
15616,-23
18955,-26.2
20832,-28
