adc,deg_C
65074,-80
64429,-68
63084,-56
60527,-44
56172,-32
49672,-20
41358,-8
32339,4
23935,16
17057,28
11545,41
8000,53
5566,65
3901,77
2779,89
2003,101
1465,113
1087,125
818,137
610,150
