adc,deg_C
592,94.5
4421,37
4779,35
5216,33
5517,31
6032,29
10881,14
12467,10.5
14816,6
16831,2.5
19351,-1.5
19989,-2
21328,-4
24237,-8
26880,-11
31537,-16
34979,-20
36238,-21
38091,-23
40891,-26
42240,-28
44028,-30
45393,-31
46785,-33
48705,-35.5
49984,-37
51426,-39
52388,-40.5
52783,-41
53264,-42
53890,-43
54909,-44
55867,-46
