adc,deg_C
65101,-80
64972,-68
64736,-56
64158,-44
62621,-32
59963,-20
55681,-8
49549,4
41874,16
33529,28
24977,41
18359,53
13218,65
9436,77
6736,89
4838,101
3507,113
2571,125
1907,137
1400,150
